Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Month_Num,AnoMes,Faixa_Etaria
55,CUST055,Male,31,Beauty,4,30.0,120.0,October,10,2023-10,26-35
56,CUST056,Female,26,Clothing,3,300.0,900.0,May,5,2023-05,26-35
57,CUST057,Female,63,Beauty,1,30.0,30.0,November,11,2023-11,51-64
58,CUST058,Male,18,Clothing,4,300.0,1200.0,November,11,2023-11,
59,CUST059,Male,62,Clothing,1,50.0,50.0,July,7,2023-07,51-64
60,CUST060,Male,30,Beauty,3,50.0,150.0,October,10,2023-10,26-35
61,CUST061,Male,21,Beauty,4,50.0,200.0,April,4,2023-04,18-25
62,CUST062,Male,18,Beauty,2,50.0,100.0,December,12,2023-12,
63,CUST063,Male,57,Electronics,2,25.0,50.0,February,2,2023-02,51-64
64,CUST064,Male,49,Clothing,4,25.0,100.0,January,1,2023-01,36-50
65,CUST065,Male,51,Electronics,4,500.0,2000.0,December,12,2023-12,51-64
66,CUST066,Female,45,Electronics,1,30.0,30.0,April,4,2023-04,36-50
67,CUST067,Female,48,Beauty,4,300.0,1200.0,May,5,2023-05,36-50
68,CUST068,Male,25,Electronics,1,300.0,300.0,February,2,2023-02,18-25
69,CUST069,Female,56,Beauty,3,25.0,75.0,April,4,2023-04,51-64
70,CUST070,Female,43,Clothing,1,300.0,300.0,February,2,2023-02,36-50
71,CUST071,Female,51,Beauty,4,25.0,100.0,July,7,2023-07,51-64
72,CUST072,Female,20,Electronics,4,500.0,2000.0,May,5,2023-05,18-25
73,CUST073,Male,29,Electronics,3,30.0,90.0,August,8,2023-08,26-35
74,CUST074,Female,18,Beauty,4,500.0,2000.0,November,11,2023-11,
75,CUST075,Male,61,Beauty,4,50.0,200.0,July,7,2023-07,51-64
76,CUST076,Female,22,Electronics,2,50.0,100.0,March,3,2023-03,18-25
77,CUST077,Female,47,Clothing,2,50.0,100.0,July,7,2023-07,36-50
78,CUST078,Female,47,Clothing,3,500.0,1500.0,July,7,2023-07,36-50
79,CUST079,Male,34,Beauty,1,300.0,300.0,April,4,2023-04,26-35
80,CUST080,Female,64,Clothing,2,30.0,60.0,December,12,2023-12,51-64
81,CUST081,Male,40,Electronics,1,50.0,50.0,May,5,2023-05,36-50
82,CUST082,Female,32,Beauty,4,50.0,200.0,December,12,2023-12,26-35
83,CUST083,Male,54,Electronics,2,50.0,100.0,December,12,2023-12,51-64
84,CUST084,Female,38,Electronics,3,30.0,90.0,November,11,2023-11,36-50
85,CUST085,Male,31,Clothing,3,50.0,150.0,February,2,2023-02,26-35
86,CUST086,Male,19,Beauty,3,30.0,90.0,November,11,2023-11,18-25
87,CUST087,Female,28,Beauty,2,50.0,100.0,November,11,2023-11,26-35
88,CUST088,Male,56,Clothing,1,500.0,500.0,March,3,2023-03,51-64
89,CUST089,Female,55,Electronics,4,500.0,2000.0,October,10,2023-10,51-64
90,CUST090,Female,51,Electronics,1,30.0,30.0,May,5,2023-05,51-64
91,CUST091,Female,55,Electronics,1,500.0,500.0,March,3,2023-03,51-64
92,CUST092,Female,51,Electronics,4,30.0,120.0,August,8,2023-08,51-64
93,CUST093,Female,35,Beauty,4,500.0,2000.0,July,7,2023-07,26-35
94,CUST094,Female,47,Beauty,2,500.0,1000.0,May,5,2023-05,36-50
95,CUST095,Female,32,Clothing,2,30.0,60.0,November,11,2023-11,26-35
96,CUST096,Female,44,Clothing,2,300.0,600.0,December,12,2023-12,36-50
97,CUST097,Female,51,Beauty,2,500.0,1000.0,October,10,2023-10,51-64
98,CUST098,Female,55,Beauty,2,50.0,100.0,April,4,2023-04,51-64
99,CUST099,Female,50,Electronics,4,300.0,1200.0,December,12,2023-12,36-50
100,CUST100,Male,41,Electronics,1,30.0,30.0,June,6,2023-06,36-50
101,CUST101,Male,32,Clothing,2,300.0,600.0,January,1,2023-01,26-35
102,CUST102,Female,47,Beauty,2,25.0,50.0,April,4,2023-04,36-50
103,CUST103,Female,59,Clothing,1,25.0,25.0,January,1,2023-01,51-64
104,CUST104,Female,34,Beauty,2,500.0,1000.0,June,6,2023-06,26-35
105,CUST105,Female,22,Electronics,1,500.0,500.0,July,7,2023-07,18-25
106,CUST106,Female,46,Clothing,1,50.0,50.0,May,5,2023-05,36-50
107,CUST107,Female,21,Clothing,4,300.0,1200.0,February,2,2023-02,18-25
108,CUST108,Female,27,Beauty,3,25.0,75.0,April,4,2023-04,26-35
109,CUST109,Female,34,Electronics,4,500.0,2000.0,October,10,2023-10,26-35
110,CUST110,Male,27,Clothing,3,300.0,900.0,June,6,2023-06,26-35
111,CUST111,Female,34,Electronics,3,500.0,1500.0,April,4,2023-04,26-35
112,CUST112,Male,37,Clothing,3,500.0,1500.0,December,12,2023-12,36-50
113,CUST113,Female,41,Electronics,2,25.0,50.0,September,9,2023-09,36-50
114,CUST114,Female,22,Beauty,4,25.0,100.0,July,7,2023-07,18-25
115,CUST115,Male,51,Clothing,3,500.0,1500.0,November,11,2023-11,51-64
116,CUST116,Female,23,Clothing,1,30.0,30.0,August,8,2023-08,18-25
117,CUST117,Male,19,Electronics,2,500.0,1000.0,March,3,2023-03,18-25
118,CUST118,Female,30,Electronics,4,500.0,2000.0,May,5,2023-05,26-35
119,CUST119,Female,60,Clothing,3,50.0,150.0,March,3,2023-03,51-64
120,CUST120,Male,60,Beauty,1,50.0,50.0,May,5,2023-05,51-64
121,CUST121,Female,28,Electronics,4,50.0,200.0,October,10,2023-10,26-35
122,CUST122,Male,64,Electronics,4,30.0,120.0,October,10,2023-10,51-64
123,CUST123,Female,40,Electronics,2,30.0,60.0,May,5,2023-05,36-50
124,CUST124,Male,33,Clothing,4,500.0,2000.0,October,10,2023-10,26-35
125,CUST125,Male,48,Clothing,2,50.0,100.0,August,8,2023-08,36-50
126,CUST126,Female,28,Clothing,3,30.0,90.0,October,10,2023-10,26-35
127,CUST127,Female,33,Clothing,2,25.0,50.0,July,7,2023-07,26-35
128,CUST128,Male,25,Beauty,1,500.0,500.0,July,7,2023-07,18-25
129,CUST129,Female,21,Beauty,2,300.0,600.0,April,4,2023-04,18-25
130,CUST130,Female,57,Clothing,1,500.0,500.0,March,3,2023-03,51-64
131,CUST131,Female,21,Beauty,2,300.0,600.0,September,9,2023-09,18-25
132,CUST132,Male,42,Electronics,4,50.0,200.0,September,9,2023-09,36-50
133,CUST133,Male,20,Electronics,3,300.0,900.0,February,2,2023-02,18-25
134,CUST134,Male,49,Electronics,1,50.0,50.0,January,1,2023-01,36-50
135,CUST135,Male,20,Clothing,2,25.0,50.0,February,2,2023-02,18-25
136,CUST136,Male,44,Electronics,2,300.0,600.0,March,3,2023-03,36-50
137,CUST137,Male,46,Beauty,2,500.0,1000.0,November,11,2023-11,36-50
138,CUST138,Male,49,Clothing,4,50.0,200.0,March,3,2023-03,36-50
139,CUST139,Male,36,Beauty,4,500.0,2000.0,December,12,2023-12,36-50
140,CUST140,Male,38,Electronics,1,30.0,30.0,August,8,2023-08,36-50
141,CUST141,Female,22,Electronics,1,50.0,50.0,November,11,2023-11,18-25
142,CUST142,Male,35,Electronics,4,300.0,1200.0,February,2,2023-02,26-35
143,CUST143,Female,45,Clothing,1,50.0,50.0,July,7,2023-07,36-50
144,CUST144,Female,59,Beauty,3,500.0,1500.0,July,7,2023-07,51-64
145,CUST145,Female,39,Clothing,3,25.0,75.0,November,11,2023-11,36-50
146,CUST146,Male,38,Clothing,4,50.0,200.0,August,8,2023-08,36-50
147,CUST147,Male,23,Electronics,1,300.0,300.0,September,9,2023-09,18-25
148,CUST148,Male,18,Clothing,2,30.0,60.0,May,5,2023-05,
149,CUST149,Male,22,Clothing,3,25.0,75.0,October,10,2023-10,18-25
150,CUST150,Female,58,Electronics,4,30.0,120.0,January,1,2023-01,51-64
151,CUST151,Male,29,Clothing,1,50.0,50.0,December,12,2023-12,26-35
152,CUST152,Male,43,Electronics,4,500.0,2000.0,February,2,2023-02,36-50
153,CUST153,Male,63,Electronics,2,500.0,1000.0,December,12,2023-12,51-64
154,CUST154,Male,51,Electronics,3,300.0,900.0,October,10,2023-10,51-64
155,CUST155,Male,31,Electronics,4,500.0,2000.0,May,5,2023-05,26-35
156,CUST156,Female,43,Clothing,4,25.0,100.0,November,11,2023-11,36-50
157,CUST157,Male,62,Electronics,4,500.0,2000.0,June,6,2023-06,51-64
158,CUST158,Female,44,Electronics,2,300.0,600.0,February,2,2023-02,36-50
159,CUST159,Male,26,Clothing,4,50.0,200.0,May,5,2023-05,26-35
160,CUST160,Female,43,Clothing,2,50.0,100.0,August,8,2023-08,36-50
161,CUST161,Male,64,Beauty,2,500.0,1000.0,March,3,2023-03,51-64
162,CUST162,Male,39,Clothing,2,30.0,60.0,August,8,2023-08,36-50
163,CUST163,Female,64,Clothing,3,50.0,150.0,January,1,2023-01,51-64
164,CUST164,Female,47,Beauty,3,500.0,1500.0,May,5,2023-05,36-50
165,CUST165,Female,60,Clothing,4,300.0,1200.0,September,9,2023-09,51-64
166,CUST166,Male,34,Clothing,4,500.0,2000.0,April,4,2023-04,26-35
167,CUST167,Female,43,Clothing,3,50.0,150.0,September,9,2023-09,36-50
168,CUST168,Male,53,Clothing,1,300.0,300.0,February,2,2023-02,51-64
169,CUST169,Male,18,Beauty,3,500.0,1500.0,November,11,2023-11,
170,CUST170,Female,25,Clothing,2,25.0,50.0,June,6,2023-06,18-25
171,CUST171,Female,52,Clothing,3,300.0,900.0,November,11,2023-11,51-64
172,CUST172,Male,32,Beauty,2,25.0,50.0,September,9,2023-09,26-35
173,CUST173,Male,64,Electronics,4,30.0,120.0,November,11,2023-11,51-64
174,CUST174,Female,39,Beauty,1,300.0,300.0,April,4,2023-04,36-50
175,CUST175,Female,31,Electronics,4,25.0,100.0,March,3,2023-03,26-35
176,CUST176,Female,43,Beauty,2,50.0,100.0,July,7,2023-07,36-50
177,CUST177,Male,45,Beauty,2,50.0,100.0,March,3,2023-03,36-50
178,CUST178,Male,40,Clothing,2,30.0,60.0,October,10,2023-10,36-50
179,CUST179,Male,31,Electronics,1,300.0,300.0,September,9,2023-09,26-35
180,CUST180,Male,41,Clothing,3,300.0,900.0,January,1,2023-01,36-50
181,CUST181,Male,19,Electronics,4,300.0,1200.0,November,11,2023-11,18-25
182,CUST182,Male,62,Beauty,4,30.0,120.0,June,6,2023-06,51-64
183,CUST183,Female,43,Beauty,3,300.0,900.0,September,9,2023-09,36-50
184,CUST184,Male,31,Electronics,4,50.0,200.0,January,1,2023-01,26-35
185,CUST185,Male,24,Clothing,1,25.0,25.0,February,2,2023-02,18-25
186,CUST186,Male,20,Clothing,4,50.0,200.0,July,7,2023-07,18-25
187,CUST187,Female,64,Clothing,2,50.0,100.0,June,6,2023-06,51-64
188,CUST188,Male,40,Clothing,3,25.0,75.0,May,5,2023-05,36-50
189,CUST189,Male,63,Beauty,1,50.0,50.0,January,1,2023-01,51-64
190,CUST190,Female,60,Beauty,3,30.0,90.0,May,5,2023-05,51-64
191,CUST191,Male,64,Beauty,1,25.0,25.0,October,10,2023-10,51-64
192,CUST192,Male,62,Beauty,2,50.0,100.0,February,2,2023-02,51-64
193,CUST193,Male,35,Beauty,3,500.0,1500.0,February,2,2023-02,26-35
194,CUST194,Male,55,Clothing,4,50.0,200.0,September,9,2023-09,51-64
195,CUST195,Male,52,Clothing,1,30.0,30.0,February,2,2023-02,51-64
196,CUST196,Female,32,Clothing,3,300.0,900.0,September,9,2023-09,26-35
197,CUST197,Female,42,Clothing,4,50.0,200.0,March,3,2023-03,36-50
198,CUST198,Female,54,Beauty,3,300.0,900.0,March,3,2023-03,51-64
199,CUST199,Male,45,Beauty,3,500.0,1500.0,December,12,2023-12,36-50
200,CUST200,Male,27,Beauty,3,50.0,150.0,September,9,2023-09,26-35
201,CUST201,Male,56,Electronics,1,25.0,25.0,October,10,2023-10,51-64
202,CUST202,Female,34,Clothing,4,300.0,1200.0,March,3,2023-03,26-35
203,CUST203,Male,56,Clothing,2,500.0,1000.0,May,5,2023-05,51-64
204,CUST204,Male,39,Beauty,1,25.0,25.0,September,9,2023-09,36-50
205,CUST205,Female,43,Clothing,1,25.0,25.0,November,11,2023-11,36-50
206,CUST206,Male,61,Clothing,1,25.0,25.0,August,8,2023-08,51-64
207,CUST207,Female,42,Beauty,2,25.0,50.0,April,4,2023-04,36-50
208,CUST208,Female,34,Electronics,4,50.0,200.0,October,10,2023-10,26-35
209,CUST209,Female,30,Electronics,4,50.0,200.0,December,12,2023-12,26-35
210,CUST210,Male,37,Electronics,4,50.0,200.0,April,4,2023-04,36-50
211,CUST211,Male,42,Beauty,3,500.0,1500.0,January,1,2024-01,36-50
212,CUST212,Male,21,Clothing,3,500.0,1500.0,June,6,2023-06,18-25
213,CUST213,Male,27,Beauty,3,500.0,1500.0,July,7,2023-07,26-35
214,CUST214,Male,20,Beauty,2,30.0,60.0,December,12,2023-12,18-25
215,CUST215,Male,58,Clothing,3,500.0,1500.0,November,11,2023-11,51-64
216,CUST216,Male,62,Electronics,2,50.0,100.0,July,7,2023-07,51-64
217,CUST217,Female,35,Electronics,4,50.0,200.0,August,8,2023-08,26-35
218,CUST218,Male,64,Beauty,3,30.0,90.0,September,9,2023-09,51-64
219,CUST219,Female,53,Electronics,3,30.0,90.0,August,8,2023-08,51-64
220,CUST220,Male,64,Beauty,1,500.0,500.0,March,3,2023-03,51-64
221,CUST221,Male,39,Beauty,2,300.0,600.0,May,5,2023-05,36-50
222,CUST222,Male,51,Clothing,4,30.0,120.0,April,4,2023-04,51-64
223,CUST223,Female,64,Clothing,1,25.0,25.0,February,2,2023-02,51-64
224,CUST224,Female,25,Clothing,1,50.0,50.0,June,6,2023-06,18-25
225,CUST225,Female,57,Beauty,4,25.0,100.0,January,1,2023-01,51-64
226,CUST226,Female,61,Clothing,1,50.0,50.0,October,10,2023-10,51-64
227,CUST227,Male,36,Electronics,2,50.0,100.0,October,10,2023-10,36-50
228,CUST228,Female,59,Electronics,2,30.0,60.0,April,4,2023-04,51-64
229,CUST229,Male,58,Beauty,3,30.0,90.0,October,10,2023-10,51-64
230,CUST230,Male,54,Beauty,1,25.0,25.0,April,4,2023-04,51-64
231,CUST231,Female,23,Clothing,3,50.0,150.0,January,1,2023-01,18-25
232,CUST232,Female,43,Beauty,1,25.0,25.0,February,2,2023-02,36-50
233,CUST233,Female,51,Beauty,2,300.0,600.0,December,12,2023-12,51-64
234,CUST234,Female,62,Electronics,2,25.0,50.0,November,11,2023-11,51-64
235,CUST235,Female,23,Electronics,2,500.0,1000.0,January,1,2023-01,18-25
236,CUST236,Female,54,Clothing,1,25.0,25.0,April,4,2023-04,51-64
237,CUST237,Female,50,Beauty,2,500.0,1000.0,February,2,2023-02,36-50
238,CUST238,Female,39,Beauty,1,500.0,500.0,January,1,2023-01,36-50
239,CUST239,Male,38,Electronics,3,500.0,1500.0,June,6,2023-06,36-50
240,CUST240,Female,23,Beauty,1,300.0,300.0,February,2,2023-02,18-25
241,CUST241,Female,23,Electronics,3,25.0,75.0,September,9,2023-09,18-25
242,CUST242,Male,21,Clothing,1,25.0,25.0,May,5,2023-05,18-25
243,CUST243,Female,47,Electronics,3,300.0,900.0,May,5,2023-05,36-50
244,CUST244,Male,28,Beauty,2,50.0,100.0,December,12,2023-12,26-35
245,CUST245,Male,47,Clothing,3,30.0,90.0,September,9,2023-09,36-50
246,CUST246,Female,48,Electronics,2,25.0,50.0,April,4,2023-04,36-50
247,CUST247,Male,41,Electronics,2,30.0,60.0,October,10,2023-10,36-50
248,CUST248,Male,26,Clothing,3,300.0,900.0,March,3,2023-03,26-35
249,CUST249,Male,20,Clothing,1,50.0,50.0,October,10,2023-10,18-25
250,CUST250,Male,48,Electronics,1,50.0,50.0,October,10,2023-10,36-50
251,CUST251,Female,57,Beauty,4,50.0,200.0,August,8,2023-08,51-64
252,CUST252,Male,54,Electronics,1,300.0,300.0,May,5,2023-05,51-64
253,CUST253,Female,53,Clothing,4,500.0,2000.0,August,8,2023-08,51-64
254,CUST254,Male,41,Electronics,1,500.0,500.0,July,7,2023-07,36-50
255,CUST255,Male,48,Clothing,1,30.0,30.0,April,4,2023-04,36-50
256,CUST256,Male,23,Clothing,2,500.0,1000.0,February,2,2023-02,18-25
257,CUST257,Male,19,Beauty,4,500.0,2000.0,February,2,2023-02,18-25
258,CUST258,Female,37,Clothing,1,50.0,50.0,December,12,2023-12,36-50
259,CUST259,Female,45,Clothing,4,50.0,200.0,August,8,2023-08,36-50
260,CUST260,Male,28,Beauty,2,30.0,60.0,July,7,2023-07,26-35
261,CUST261,Male,21,Clothing,2,25.0,50.0,August,8,2023-08,18-25
262,CUST262,Female,32,Beauty,4,30.0,120.0,July,7,2023-07,26-35
263,CUST263,Male,23,Beauty,2,30.0,60.0,August,8,2023-08,18-25
264,CUST264,Male,47,Clothing,3,300.0,900.0,January,1,2023-01,36-50
265,CUST265,Male,55,Clothing,3,300.0,900.0,December,12,2023-12,51-64
266,CUST266,Female,19,Electronics,2,30.0,60.0,December,12,2023-12,18-25
267,CUST267,Female,32,Beauty,3,30.0,90.0,November,11,2023-11,26-35
268,CUST268,Female,28,Electronics,1,30.0,30.0,February,2,2023-02,26-35
269,CUST269,Male,25,Clothing,4,500.0,2000.0,February,2,2023-02,18-25
270,CUST270,Male,43,Electronics,1,300.0,300.0,July,7,2023-07,36-50
271,CUST271,Female,62,Beauty,4,30.0,120.0,June,6,2023-06,51-64
272,CUST272,Female,61,Electronics,2,50.0,100.0,February,2,2023-02,51-64
273,CUST273,Female,22,Beauty,1,50.0,50.0,May,5,2023-05,18-25
274,CUST274,Female,23,Clothing,2,500.0,1000.0,April,4,2023-04,18-25
275,CUST275,Male,43,Clothing,2,500.0,1000.0,April,4,2023-04,36-50
276,CUST276,Female,21,Beauty,4,25.0,100.0,October,10,2023-10,18-25
277,CUST277,Male,36,Clothing,4,25.0,100.0,August,8,2023-08,36-50
278,CUST278,Female,37,Clothing,4,25.0,100.0,March,3,2023-03,36-50
279,CUST279,Male,50,Clothing,1,500.0,500.0,August,8,2023-08,36-50
280,CUST280,Female,37,Clothing,3,500.0,1500.0,April,4,2023-04,36-50
281,CUST281,Female,29,Beauty,4,500.0,2000.0,May,5,2023-05,26-35
282,CUST282,Female,64,Electronics,4,50.0,200.0,August,8,2023-08,51-64
283,CUST283,Female,18,Electronics,1,500.0,500.0,May,5,2023-05,
284,CUST284,Male,43,Clothing,4,50.0,200.0,February,2,2023-02,36-50
285,CUST285,Female,31,Electronics,1,25.0,25.0,August,8,2023-08,26-35
286,CUST286,Male,55,Electronics,2,25.0,50.0,October,10,2023-10,51-64
287,CUST287,Male,54,Clothing,4,25.0,100.0,February,2,2023-02,51-64
288,CUST288,Male,28,Clothing,4,30.0,120.0,January,1,2023-01,26-35
289,CUST289,Male,53,Electronics,2,30.0,60.0,November,11,2023-11,51-64
290,CUST290,Female,30,Beauty,2,300.0,600.0,October,10,2023-10,26-35
291,CUST291,Male,60,Clothing,2,300.0,600.0,January,1,2023-01,51-64
292,CUST292,Male,20,Beauty,4,300.0,1200.0,February,2,2023-02,18-25
293,CUST293,Male,50,Electronics,3,30.0,90.0,May,5,2023-05,36-50
294,CUST294,Female,23,Clothing,3,30.0,90.0,March,3,2023-03,18-25
295,CUST295,Female,27,Beauty,3,300.0,900.0,July,7,2023-07,26-35
296,CUST296,Female,22,Clothing,4,300.0,1200.0,September,9,2023-09,18-25
297,CUST297,Female,40,Electronics,2,500.0,1000.0,September,9,2023-09,36-50
298,CUST298,Male,27,Beauty,4,300.0,1200.0,April,4,2023-04,26-35
299,CUST299,Male,61,Electronics,2,500.0,1000.0,July,7,2023-07,51-64
300,CUST300,Female,19,Electronics,4,50.0,200.0,January,1,2023-01,18-25
301,CUST301,Male,30,Clothing,4,30.0,120.0,March,3,2023-03,26-35
302,CUST302,Male,57,Beauty,2,300.0,600.0,July,7,2023-07,51-64
303,CUST303,Male,19,Electronics,3,30.0,90.0,January,1,2023-01,18-25
304,CUST304,Female,37,Electronics,2,30.0,60.0,July,7,2023-07,36-50
305,CUST305,Female,18,Beauty,1,30.0,30.0,May,5,2023-05,
306,CUST306,Male,54,Electronics,1,50.0,50.0,August,8,2023-08,51-64
307,CUST307,Female,26,Electronics,2,25.0,50.0,May,5,2023-05,26-35
308,CUST308,Female,34,Beauty,4,300.0,1200.0,August,8,2023-08,26-35
309,CUST309,Female,26,Beauty,1,25.0,25.0,December,12,2023-12,26-35
310,CUST310,Female,28,Beauty,1,25.0,25.0,October,10,2023-10,26-35
311,CUST311,Female,32,Beauty,4,25.0,100.0,December,12,2023-12,26-35
312,CUST312,Male,41,Clothing,4,30.0,120.0,September,9,2023-09,36-50
313,CUST313,Female,55,Beauty,3,500.0,1500.0,March,3,2023-03,51-64
314,CUST314,Male,52,Clothing,4,30.0,120.0,April,4,2023-04,51-64
315,CUST315,Male,47,Clothing,2,30.0,60.0,June,6,2023-06,36-50
316,CUST316,Female,48,Clothing,2,25.0,50.0,April,4,2023-04,36-50
317,CUST317,Male,22,Electronics,3,30.0,90.0,January,1,2023-01,18-25
318,CUST318,Male,61,Clothing,1,25.0,25.0,October,10,2023-10,51-64
319,CUST319,Male,31,Clothing,1,500.0,500.0,October,10,2023-10,26-35
320,CUST320,Female,28,Electronics,4,300.0,1200.0,February,2,2023-02,26-35
321,CUST321,Female,26,Electronics,2,25.0,50.0,June,6,2023-06,26-35
322,CUST322,Male,51,Electronics,1,500.0,500.0,January,1,2023-01,51-64
323,CUST323,Female,29,Beauty,3,300.0,900.0,January,1,2023-01,26-35
324,CUST324,Female,52,Electronics,3,50.0,150.0,October,10,2023-10,51-64
325,CUST325,Female,52,Electronics,2,25.0,50.0,September,9,2023-09,51-64
326,CUST326,Female,18,Clothing,3,25.0,75.0,September,9,2023-09,
327,CUST327,Male,57,Electronics,3,50.0,150.0,September,9,2023-09,51-64
328,CUST328,Male,39,Beauty,2,50.0,100.0,March,3,2023-03,36-50
329,CUST329,Female,46,Electronics,4,25.0,100.0,January,1,2023-01,36-50
330,CUST330,Female,25,Beauty,4,50.0,200.0,September,9,2023-09,18-25
331,CUST331,Male,28,Electronics,3,30.0,90.0,February,2,2023-02,26-35
332,CUST332,Male,58,Electronics,4,300.0,1200.0,April,4,2023-04,51-64
333,CUST333,Female,54,Electronics,4,300.0,1200.0,February,2,2023-02,51-64
334,CUST334,Male,31,Electronics,3,300.0,900.0,November,11,2023-11,26-35
335,CUST335,Female,47,Beauty,4,30.0,120.0,February,2,2023-02,36-50
336,CUST336,Female,52,Beauty,3,50.0,150.0,December,12,2023-12,51-64
337,CUST337,Male,38,Clothing,1,500.0,500.0,May,5,2023-05,36-50
338,CUST338,Male,54,Beauty,2,50.0,100.0,July,7,2023-07,51-64
339,CUST339,Female,22,Electronics,2,25.0,50.0,March,3,2023-03,18-25
340,CUST340,Female,36,Clothing,4,300.0,1200.0,October,10,2023-10,36-50
341,CUST341,Male,31,Clothing,4,50.0,200.0,May,5,2023-05,26-35
342,CUST342,Female,43,Clothing,4,500.0,2000.0,October,10,2023-10,36-50
343,CUST343,Male,21,Electronics,2,25.0,50.0,November,11,2023-11,18-25
344,CUST344,Female,42,Beauty,1,30.0,30.0,January,1,2023-01,36-50
345,CUST345,Male,62,Electronics,1,30.0,30.0,November,11,2023-11,51-64
